;;;;;Temps;;températures;températures;;;
déc-16;;pluie;;matin;A Midi;Nuit;mini;Maxi;;;
01/12/2016;Jeudi;0;;TRES BEAU;TRES BEAU;TRES BEAU;-0,9;;TRES BEAU;;
02/12/2016;Vendredi;0;;TRES BEAU;TRES BEAU;TRES BEAU;-0,5;;BEAU;;
03/12/2016;Samedi;0;;TRES BEAU;TRES BEAU;TRES BEAU;-0,5;;Eclaircies;;
04/12/2016;Dimanche;0;;TRES BEAU;TRES BEAU;TRES BEAU;-0,6;;Variable;;
05/12/2016;Lundi;0;;TRES BEAU;TRES BEAU;TRES BEAU;1,5;;couvert;;
06/12/2016;Mardi;0;;BEAU;TRES BEAU;TRES BEAU;3;;pluie;;
07/12/2016;Mercredi;0;;BEAU;TRES BEAU;TRES BEAU;2,2;;tempête;;
08/12/2016;Jeudi;0;;BEAU;BEAU;BEAU;2,6;;brouillard;;
09/12/2016;Vendredi;0;;Variable;Variable;BEAU;2;;neige;;
10/12/2016;Samedi;2;;TRES BEAU;TRES BEAU;pluie;2,1;;ORAGE;;
11/12/2016;Dimanche;0,5;;pluie;brouillard;couvert;2,8;;VENT;;
12/12/2016;Lundi;0;;Variable;TRES BEAU;TRES BEAU;1,8;;;;
13/12/2016;Mardi;0;;BEAU;Variable;couvert;0,3;;;;
14/12/2016;Mercredi;0;;Variable;TRES BEAU;TRES BEAU;4;;;;
15/12/2016;Jeudi;0;;TRES BEAU;TRES BEAU;TRES BEAU;2,2;;;;
16/12/2016;Vendredi;0;;TRES BEAU;TRES BEAU;TRES BEAU;3,8;;;;
17/12/2016;Samedi;0;;Variable;Variable;BEAU;3,9;;;372,5;
18/12/2016;Dimanche;0;;Variable;couvert;couvert;1;;;309;
19/12/2016;Lundi;0;;couvert;Variable;TRES BEAU;-0,5;;;183;
20/12/2016;Mardi;0;;couvert;couvert;TRES BEAU;1,6;;;197,5;
21/12/2016;Mercredi;0;;TRES BEAU;TRES BEAU;TRES BEAU;0,5;;;223,5;
22/12/2016;Jeudi;4;;Variable;pluie;pluie;0,5;;;304;
23/12/2016;Vendredi;0,5;;Variable;Variable;pluie;3;;;68,5;
24/12/2016;Samedi;8;;pluie;couvert;pluie;3,3;;;80;
25/12/2016;Dimanche;0,5;;pluie;brouillard;brouillard;3,3;;;62,5;
26/12/2016;Lundi;5;;brouillard;pluie;BEAU;3,3;;;81,5;
27/12/2016;Mardi;0;;TRES BEAU;TRES BEAU;TRES BEAU;-0,8;;;195,5;
28/12/2016;Mercredi;0;;TRES BEAU;TRES BEAU;TRES BEAU;0,5;;;20;
29/12/2016;Jeudi;0;;TRES BEAU;TRES BEAU;TRES BEAU;1,5;;;2097,5;
30/12/2016;Vendredi;0;;TRES BEAU;TRES BEAU;TRES BEAU;-0,8;;;;
31/12/2016;Samedi;0;;TRES BEAU;TRES BEAU;TRES BEAU;0,2;;;;
;Total;;;;;;;;;;
;;20;mm;;;;1,49;;;;
;;;;;;;;;;;
;;;;;* températures à 8 heures;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
